run_id,structure_id,position_group,manual_group,is_extra_tail_group,x_m,y_m,position_received_packets,position_expected_packets_from_fcnt,position_missing_packets_from_fcnt,position_duplicate_fcnt_packets,position_fcnt_min,position_fcnt_max,position_packet_delivery_rate,position_packet_loss_rate,position_data_loss_rate
2026-06-29_R1197_01,R1197,12,12,False,-161.99599999999998,-12.100000000000001,22,22,0,4,1127,1148,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,2,2,False,15.636,-21.3,32,32,0,0,1672,1703,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,3,3,False,29.272,-21.3,34,34,0,2,1688,1721,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,4,4,False,42.908,-21.3,36,36,0,4,1706,1741,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,5,5,False,56.544,-21.3,32,32,0,0,1726,1757,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,6,6,False,70.17999999999999,-21.3,37,37,0,5,1742,1778,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,7,7,False,83.816,-21.3,32,32,0,0,1763,1794,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,8,8,False,97.452,-21.3,33,33,0,1,1779,1811,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,9,9,False,111.088,-21.3,38,38,0,6,1796,1833,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,10,10,False,124.72399999999999,-21.3,37,37,0,2,1816,1852,1.0,0.0,0.0
2026-06-29_R1332_01,R1332,11,11,False,138.35999999999999,-21.3,35,36,1,0,1835,1870,0.9722222222222222,0.027777777777777776,0.027777777777777776
2026-06-29_R1332_01,R1332,12,12,False,161.99599999999998,-21.3,34,36,2,0,1852,1887,0.9444444444444444,0.05555555555555555,0.05555555555555555
2026-06-29_R1336_01,R1336,2,2,False,15.636,-16.900000000000002,32,32,0,4,1448,1479,1.0,0.0,0.0
2026-06-29_R1336_01,R1336,3,3,False,29.272,-16.900000000000002,26,27,1,0,1466,1492,0.9629629629629629,0.037037037037037035,0.037037037037037035
2026-06-29_R1336_01,R1336,4,4,False,42.908,-16.900000000000002,28,28,0,0,1479,1506,1.0,0.0,0.0
2026-06-29_R1336_01,R1336,5,5,False,56.544,-16.900000000000002,26,27,1,0,1493,1519,0.9629629629629629,0.037037037037037035,0.037037037037037035
2026-06-29_R1336_01,R1336,6,6,False,70.17999999999999,-16.900000000000002,24,26,2,0,1506,1531,0.9230769230769231,0.07692307692307693,0.07692307692307693
2026-06-29_R1336_01,R1336,7,7,False,83.816,-16.900000000000002,24,26,2,0,1518,1543,0.9230769230769231,0.07692307692307693,0.07692307692307693
2026-06-29_R1336_01,R1336,8,8,False,97.452,-16.900000000000002,28,28,0,0,1530,1557,1.0,0.0,0.0
2026-06-29_R1336_01,R1336,9,9,False,111.088,-16.900000000000002,29,29,0,1,1544,1572,1.0,0.0,0.0
2026-06-29_R1336_01,R1336,10,10,False,124.72399999999999,-16.900000000000002,24,26,2,0,1559,1584,0.9230769230769231,0.07692307692307693,0.07692307692307693
2026-06-29_R1336_01,R1336,11,11,False,138.35999999999999,-16.900000000000002,24,26,2,0,1571,1596,0.9230769230769231,0.07692307692307693,0.07692307692307693
2026-06-29_R1336_01,R1336,12,12,False,161.99599999999998,-16.900000000000002,25,27,2,1,1583,1609,0.9259259259259259,0.07407407407407407,0.07407407407407407
2026-06-29_R1340_01,R1340,1,1,False,2.0,-12.5,25,25,0,7,1150,1174,1.0,0.0,0.0
2026-06-29_R1340_01,R1340,2,2,False,15.636,-12.5,25,25,0,7,1166,1190,1.0,0.0,0.0
2026-06-29_R1340_01,R1340,3,3,False,29.272,-12.5,23,23,0,5,1182,1204,1.0,0.0,0.0
2026-06-29_R1340_01,R1340,4,4,False,42.908,-12.5,30,30,0,12,1196,1225,1.0,0.0,0.0
2026-06-29_R1340_01,R1340,5,5,False,56.544,-12.5,20,20,0,0,1216,1235,1.0,0.0,0.0
2026-06-29_R1340_01,R1340,6,6,False,70.17999999999999,-12.5,27,27,0,7,1226,1252,1.0,0.0,0.0
2026-06-29_R1340_01,R1340,7,7,False,83.816,-12.5,30,30,0,10,1243,1272,1.0,0.0,0.0
2026-06-29_R1340_01,R1340,8,8,False,97.452,-12.5,33,33,0,13,1263,1295,1.0,0.0,0.0
2026-06-29_R1340_01,R1340,9,9,False,111.088,-12.5,33,33,0,11,1285,1317,1.0,0.0,0.0
